"","x"
"dgm",0.171051480515053
"lulc",0.144226522987894
"urban_dist",0.114572496577938
"canopyheight",0.089631219794443
"summerdays",0.0682999428515417
"roads_dist",0.0534244503586501
"VV",0.04848231961995
"phh2o",0.0473304239255074
"soil_moist",0.0420422753150297
"sand",0.0386112225304213
"frostdays",0.0342773693299736
"veryhvyprdays",0.0306793295956413
"ocs",0.0200900205317339
"NDWI",0.0148710469812429
"tree_spec",0.0116256500824471
"aspect",0.0115762362780241
"RVI",0.0111071742358793
"consecdrydays",0.00971563128046143
"consecwetdays",0.00966747520867721
"icedays",0.00673134767982926
"water_dist",0.00576776165879084
"silt",0.00519416688460023
"tropicalnights",0.00481429655265155
"woody_feat",0.00307069729694786
"entropy",0.00279603788235203
"tree_div",0.00181517722026691
"stocked_forest",0
"forest_type",-0.00147177317594711
