"","x"
"dgm",0.270980171227411
"sand",0.187444986525397
"water_dist",0.107547686940183
"tree_div",0.0620137404362479
"lulc",0.0577449758522411
"urban_dist",0.052542801944799
"tcd",0.0334423547597561
"phh2o",0.0320591581273971
"RVI",0.0279027805101613
"consecsummerdays",0.0249075772765657
"nitrogen",0.0202564574843398
"tropicalnights",0.0192222617225386
"CCI",0.0190497102854538
"woody_feat",0.0157402662947478
"consecdrydays",0.0149046022991862
"hvyprdays",0.0123431131244031
"aspect",0.0111705136192608
"consecwetdays",0.00891985915875939
"forest_type",0.00709044215186513
"soil_moist",0.00681080239412631
"entropy",0.00477830033764959
"tree_spec",0.00409026007717003
"icedays",0.000166556824177244
"stocked_forest",0
"bioeffdegdays",-0.0011293793738364
