"","x"
"DOM_Lidar",0.349777883960074
"lulc",0.174270914775317
"icedays",0.078761450648864
"CCI",0.0541822823283801
"ocs",0.0443271033105847
"phh2o",0.0434234603671925
"tree_div",0.0413340467555411
"frostdays",0.032170580996961
"water_dist",0.0315816710392091
"consecwetdays",0.0246537683650453
"consecdrydays",0.0217818751978966
"roads_dist",0.0191121518325987
"VV",0.018972832046979
"woody_feat",0.0178234228278346
"wetdays",0.0165536765147005
"tropicalnights",0.0158278726576389
"consecsummerdays",0.00672750763708328
"tree_spec",0.0044433518353961
"RVI",0.00193755902499566
"stocked_forest",0.00172293843779731
"forest_type",0.00129794644767157
"entropy",-0.000684297007761025
