"","x"
"tcd",0.536593365704358
"ocs",0.0653270295271879
"phh2o",0.0526781865718629
"silt",0.052276793742336
"tree_div",0.0435671780270829
"RVI",0.0345928177422449
"consecwetdays",0.0318763926948186
"slope",0.0216956971828452
"summerdays",0.0209888249587589
"urban_dist",0.0207267379934095
"frostdays",0.0193887107344911
"lulc",0.018687040655163
"soil_moist",0.0175108339235617
"icedays",0.0128988148097283
"water_dist",0.0119792514153844
"entropy",0.00882773786040804
"tree_spec",0.00640434443000977
"VV",0.00593334637734526
"consecdrydays",0.00448430182339339
"tropicalnights",0.00440662634777985
"woody_feat",0.00438193019501792
"aspect",0.00401045685694991
"forest_type",0.00378656817348831
"veryhvyprdays",0.00369794285292212
"CCI",-0.000349510087013974
"stocked_forest",-0.00264308169540557
"sand",-0.00372833881812807
