"","x"
"tcd",0.32443577280742
"lulc",0.182708353257089
"phh2o",0.114046728735958
"summerdays",0.0746789244321762
"consecdrydays",0.0665946069695695
"forest_type",0.0307723182973942
"urban_dist",0.0295836529379638
"ocs",0.024644981897609
"RVI",0.0239990965305544
"tree_div",0.02368496329046
"consecwetdays",0.0226035749528014
"roads_dist",0.019182992823851
"woody_feat",0.0185590179261567
"slope",0.0143174505737237
"sand",0.0142977520801959
"soil_moist",0.0133043914503817
"silt",0.00968600272312016
"NDWI",0.00494409268931604
"STDEV",0.00441511913829934
"tree_spec",0.00200736240622932
"bioeffdegdays",-0.00466292219585403
"stocked_forest",-0.00613607539385511
"VH",-0.00766815833056033
