"","x"
"tcd",0.209042495083622
"silt",0.14412734809819
"phh2o",0.13997763050601
"lulc",0.093067411899086
"dgm",0.0724291422247395
"sand",0.0416059035648525
"water_dist",0.0389082817439306
"CCI",0.0364674715382692
"RVI",0.0323034738183002
"urban_dist",0.0292535971175457
"summerdays",0.0241274481685798
"tropicalnights",0.0212422962897021
"entropy",0.0190387372883537
"soc",0.0151734744368613
"soil_moist",0.0146954931986384
"consecdrydays",0.0140575683097595
"icedays",0.0135791942008479
"roads_dist",0.00891769551707398
"consecwetdays",0.00795022684355314
"veryhvyprdays",0.00538605879022471
"frostdays",0.00514756815507649
"woody_feat",0.00430794516698053
"aspect",0.00382685999335589
"tree_spec",0.00279981020107827
"stocked_forest",0.00218557596418774
"forest_type",0.00142310253100522
"VH",-0.00104181064982375
