"","x"
"tcd",0.432092326366688
"lulc",0.174852475047597
"phh2o",0.165873507246752
"water_dist",0.0321040138382197
"sand",0.0259125966408139
"CCI",0.0236751074659439
"VH",0.0193124965860207
"soil_moist",0.0180959482480542
"CONTRAST",0.0141504927902179
"slope",0.0117016242132625
"urban_dist",0.00978580530555161
"tree_spec",0.00951398046188799
"aspect",0.00857247953981127
"consecdrydays",0.00835296277509192
"consecsummerdays",0.00752030846876451
"silt",0.0073944099832016
"RVI",0.00734322436228752
"tropicalnights",0.00664094927734747
"ocs",0.0054363018773752
"consecwetdays",0.00484008596362977
"woody_feat",0.00362683425281617
"tree_div",0.0030832591785849
"forest_type",0.00246862149360966
"veryhvyprdays",0.00178716768313401
"icedays",0.00141589216305478
"bioeffdegdays",0.00116912317296563
"roads_dist",-0.002449339165242
"stocked_forest",-0.00427265523744114
