"","Anthus trivialis","Ciconia nigra","Dendrocoptes medius","Dryobates minor","Dryocopus martius","Phylloscopus sibillatrix","Picus canus","Poecile montanus","Poecile palustris","Sitta europaea"
"aspect",0.0115762362780241,0.0111705136192608,0,0,0.00401045685694991,0,0,0,0.00382685999335589,0.00857247953981127
"bdod",0,0,0,0,0,0,0,0,0,0
"canopyheight",0.089631219794443,0,0,0,0,0,0,0,0,0
"cec",0,0,0,0.111161284188202,0,0,0,0,0,0
"cfvo",0,0,0,0,0,0,0,0,0,0
"clay",0,0,0,0,0,0,0.0273671429679592,0,0,0
"dgm",0.171051480515053,0.270980171227411,0,0,0,0,0,0.333848083908866,0.0724291422247395,0
"DOM_Lidar",0,0,0.349777883960074,0,0,0,0,0,0,0
"forest_type",-0.00147177317594711,0.00709044215186513,0.00129794644767157,0.00353845022740877,0.00378656817348831,0.0307723182973942,0.0128349271625884,-0.000840708173205972,0.00142310253100522,0.00246862149360966
"forestedge_dist",0,0,0,0,0,0,0,0,0,0
"lulc",0.144226522987894,0.0577449758522411,0.174270914775317,0.119057101928999,0.018687040655163,0.182708353257089,0.496723956623112,0.0950540078208926,0.093067411899086,0.174852475047597
"nitrogen",0,0.0202564574843398,0,0,0,0,0,0,0,0
"ocd",0,0,0,0,0,0,0,0,0,0
"ocs",0.0200900205317339,0,0.0443271033105847,0,0.0653270295271879,0.024644981897609,0,0.00950475184269545,0,0.0054363018773752
"phh2o",0.0473304239255074,0.0320591581273971,0.0434234603671925,0.148677878658222,0.0526781865718629,0.114046728735958,0,0.0460281746200916,0.13997763050601,0.165873507246752
"roads_dist",0.0534244503586501,0,0.0191121518325987,0,0,0.019182992823851,0,0,0.00891769551707398,-0.002449339165242
"sand",0.0386112225304213,0.187444986525397,0,0,-0.00372833881812807,0.0142977520801959,0,0,0.0416059035648525,0.0259125966408139
"silt",0.00519416688460023,0,0,0.0874345978684474,0.052276793742336,0.00968600272312016,0,0,0.14412734809819,0.0073944099832016
"slope",0,0,0,0,0.0216956971828452,0.0143174505737237,0.235653019282237,0,0,0.0117016242132625
"soc",0,0,0,0,0,0,0,0,0.0151734744368613,0
"stocked_forest",0,0,0.00172293843779731,0.00100651216992589,-0.00264308169540557,-0.00613607539385511,0.00791617333407733,-0.00331679362194516,0.00218557596418774,-0.00427265523744114
"tcd",0,0.0334423547597561,0,0.15831976689751,0.536593365704358,0.32443577280742,0.122107737774817,0.323059762308718,0.209042495083622,0.432092326366688
"tree_div",0.00181517722026691,0.0620137404362479,0.0413340467555411,0.0307456427509157,0.0435671780270829,0.02368496329046,0,0.00535441296467805,0,0.0030832591785849
"tree_spec",0.0116256500824471,0.00409026007717003,0.0044433518353961,0.128582116293345,0.00640434443000977,0.00200736240622932,0.0590216246238554,0.012694977617036,0.00279981020107827,0.00951398046188799
"urban_dist",0.114572496577938,0.052542801944799,0,0,0.0207267379934095,0.0295836529379638,0,0,0.0292535971175457,0.00978580530555161
"water_dist",0.00576776165879084,0.107547686940183,0.0315816710392091,0,0.0119792514153844,0,0,0,0.0389082817439306,0.0321040138382197
"woody_feat",0.00307069729694786,0.0157402662947478,0.0178234228278346,0,0.00438193019501792,0.0185590179261567,0,0,0.00430794516698053,0.00362683425281617
"bioeffdegdays",0,-0.0011293793738364,0,0,0,-0.00466292219585403,0.025104661894166,0,0,0.00116912317296563
"CCI",0,0.0190497102854538,0.0541822823283801,0,-0.000349510087013974,0,0,0.0237232988663988,0.0364674715382692,0.0236751074659439
"consecdrydays",0.00971563128046143,0.0149046022991862,0.0217818751978966,0,0.00448430182339339,0.0665946069695695,0,0,0.0140575683097595,0.00835296277509192
"consecsummerdays",0,0.0249075772765657,0.00672750763708328,0,0,0,0,0,0,0.00752030846876451
"consecwetdays",0.00966747520867721,0.00891985915875939,0.0246537683650453,0,0.0318763926948186,0.0226035749528014,0,0,0.00795022684355314,0.00484008596362977
"CONTRAST",0,0,0,0,0,0,0,0,0,0.0141504927902179
"entropy",0.00279603788235203,0.00477830033764959,-0.000684297007761025,0,0.00882773786040804,0,0,0,0.0190387372883537,0
"EVI",0,0,0,0,0,0,0,0,0,0
"frostdays",0.0342773693299736,0,0.032170580996961,0.0461951137569306,0.0193887107344911,0,0,0,0.00514756815507649,0
"hvyprdays",0,0.0123431131244031,0,0,0,0,0,0.000554586863689363,0,0
"icedays",0.00673134767982926,0.000166556824177244,0.078761450648864,0.0289826708476155,0.0128988148097283,0,0,0.00921798979196579,0.0135791942008479,0.00141589216305478
"NDRE1",0,0,0,0,0,0,0,0,0,0
"NDVI",0,0,0,0,0,0,0,0,0,0
"NDWI",0.0148710469812429,0,0,0,0,0.00494409268931604,0,0,0,0
"RVI",0.0111071742358793,0.0279027805101613,0.00193755902499566,0.0267693357548597,0.0345928177422449,0.0239990965305544,0.0132707563371875,0.0286892332057208,0.0323034738183002,0.00734322436228752
"soil_moist",0.0420422753150297,0.00681080239412631,0,0,0.0175108339235617,0.0133043914503817,0,0,0.0146954931986384,0.0180959482480542
"STDEV",0,0,0,0.109529528657619,0,0.00441511913829934,0,0,0,0
"summerdays",0.0682999428515417,0,0,0,0.0209888249587589,0.0746789244321762,0,0.0705401731407081,0.0241274481685798,0
"tropicalnights",0.00481429655265155,0.0192222617225386,0.0158278726576389,0,0.00440662634777985,0,0,0,0.0212422962897021,0.00664094927734747
"veryhvyprdays",0.0306793295956413,0,0,0,0.00369794285292212,0,0,0.0261561047675228,0.00538605879022471,0.00178716768313401
"VH",0,0,0,0,0,-0.00766815833056033,0,0.0197319440761682,-0.00104181064982375,0.0193124965860207
"VV",0.04848231961995,0,0.018972832046979,0,0.00593334637734526,0,0,0,0,0
"wetdays",0,0,0.0165536765147005,0,0,0,0,0,0,0
