"","Anthus trivialis","Ciconia nigra","Dendrocoptes medius","Dryobates minor","Dryocopus martius","Phylloscopus sibillatrix","Picus canus","Poecile montanus","Poecile palustris","Sitta europaea"
"aspect",0,0,0,0,0,0,0,0,0,0
"bdod",0,0,0,0,0,0,0,0,0,0
"canopyheight",0.127017792286993,0,0,0,0,0,0,0,0,0
"cec",0,0,0,0.116678613931208,0,0,0,0,0,0
"cfvo",0,0,0,0,0,0,0,0,0,0
"clay",0,0,0,0,0,0,0,0,0,0
"dgm",0.117734084239467,0.461330504431414,0,0,0,0,0,0.319213031322927,0.0921647104272889,0
"DOM_Lidar",0,0,0.527309082310151,0,0,0,0,0,0,0
"forest_type",0,0,0,0,0,0,0,0,0,0
"forestedge_dist",0,0,0,0,0,0,0,0,0,0
"lulc",0.194644101959315,0.0974837076009355,0.319098390793483,0.140197909924571,0,0.295454900023796,0.540887297838122,0.173071874880843,0.139929904862142,0.258523580281448
"nitrogen",0,0,0,0,0,0,0,0,0,0
"ocd",0,0,0,0,0,0,0,0,0,0
"ocs",0,0,0,0,0.0608467402558914,0,0,0,0,0
"phh2o",0.0707254664734877,0,0,0.142847307153867,0.0616007087956605,0.164007895520244,0,0,0.221018246292703,0.183383762166684
"roads_dist",0.067737693245102,0,0,0,0,0,0,0,0,0
"sand",0.0453342932668773,0.103993815440555,0,0,0,0,0,0,0.0306308928194202,0
"silt",0,0,0,0.11489761792747,0.0384822857366611,0,0,0,0.183563293745837,0
"slope",0,0,0,0,0,0,0.339668374506898,0,0,0
"soc",0,0,0,0,0,0,0,0,0,0
"stocked_forest",0,0,0,0,0,0,0,0,0,0
"tcd",0,0,0,0.246329996879869,0.792905359684678,0.416837837970068,0.11944432765498,0.426765516358252,0.268344099581588,0.558092657551868
"tree_div",0,0.0810568665415016,0,0,0.0461649055271086,0,0,0,0,0
"tree_spec",0,0,0,0.125427883128627,0,0,0,0,0,0
"urban_dist",0.140566751218991,0.0652944582686473,0,0,0,0,0,0,0,0
"water_dist",0,0.190840647716946,0,0,0,0,0,0,0.0643488522710196,0
"woody_feat",0,0,0,0,0,0,0,0,0,0
"bioeffdegdays",0,0,0,0,0,0,0,0,0,0
"CCI",0,0,0.0651541755664882,0,0,0,0,0,0,0
"consecdrydays",0,0,0,0,0,0.0673406068595915,0,0,0,0
"consecsummerdays",0,0,0,0,0,0,0,0,0,0
"consecwetdays",0,0,0,0,0,0,0,0,0,0
"CONTRAST",0,0,0,0,0,0,0,0,0,0
"entropy",0,0,0,0,0,0,0,0,0,0
"EVI",0,0,0,0,0,0,0,0,0,0
"frostdays",0,0,0,0,0,0,0,0,0,0
"hvyprdays",0,0,0,0,0,0,0,0,0,0
"icedays",0,0,0.0884383513298778,0,0,0,0,0,0,0
"NDRE1",0,0,0,0,0,0,0,0,0,0
"NDVI",0,0,0,0,0,0,0,0,0,0
"NDWI",0,0,0,0,0,0,0,0,0,0
"RVI",0,0,0,0,0,0,0,0,0,0
"soil_moist",0.0506799913443589,0,0,0,0,0,0,0,0,0
"STDEV",0,0,0,0.113620671054388,0,0,0,0,0,0
"summerdays",0.0435675275692626,0,0,0,0,0.0563587596263008,0,0.0809495774379784,0,0
"tropicalnights",0,0,0,0,0,0,0,0,0,0
"veryhvyprdays",0,0,0,0,0,0,0,0,0,0
"VH",0,0,0,0,0,0,0,0,0,0
"VV",0.141992298396145,0,0,0,0,0,0,0,0,0
"wetdays",0,0,0,0,0,0,0,0,0,0
